iter	Passed	Remaining
981	5636	11583
982	5641	11575
983	5645	11566
984	5650	11558
985	5654	11550
986	5659	11541
987	5663	11533
988	5667	11525
989	5672	11516
990	5676	11507
991	5680	11499
992	5685	11490
993	5690	11483
994	5694	11475
995	5699	11467
996	5703	11458
997	5708	11450
998	5714	11446
999	5722	11444
1000	5729	11441
1001	5736	11438
1002	5742	11433
1003	5749	11429
1004	5756	11426
1005	5761	11420
1006	5769	11418
1007	5777	11417
1008	5783	11413
1009	5790	11408
1010	5796	11404
1011	5805	11403
1012	5811	11400
1013	5819	11397
1014	5826	11393
1015	5833	11390
1016	5838	11383
1017	5842	11375
1018	5847	11367
1019	5852	11360
1020	5856	11352
1021	5860	11343
1022	5867	11339
1023	5874	11335
1024	5882	11334
1025	5889	11331
1026	5896	11327
1027	5903	11325
1028	5910	11320
1029	5917	11317
1030	5924	11315
1031	5931	11311
1032	5937	11306
1033	5942	11297
1034	5946	11289
1035	5953	11286
1036	5960	11283
1037	5967	11280
1038	5972	11272
1039	5979	11269
1040	5987	11267
1041	5994	11263
1042	6001	11259
1043	6008	11257
1044	6016	11255
1045	6022	11251
1046	6029	11247
1047	6036	11243
1048	6043	11239
1049	6047	11231
1050	6110	11330
1051	6117	11326
1052	6123	11322
1053	6134	11326
1054	6139	11318
1055	6155	11331
1056	6162	11328
1057	6169	11323
1058	6173	11315
1059	6177	11306
1060	6182	11298
1061	6186	11289
1062	6191	11281
1063	6195	11272
1064	6199	11264
1065	6204	11255
1066	6208	11247
1067	6213	11239
1068	6217	11230
1069	6221	11222
1070	6226	11214
1071	6230	11206
1072	6235	11197
1073	6239	11189
1074	6246	11185
1075	6253	11181
1076	6264	11185
1077	6271	11180
1078	6277	11175
1079	6285	11174
1080	6293	11172
1081	6302	11171
1082	6309	11168
1083	6317	11165
1084	6323	11161
1085	6331	11158
1086	6337	11153
1087	6344	11149
1088	6350	11144
1089	6358	11141
1090	6365	11137
1091	6370	11130
1092	6374	11122
1093	6378	11113
1094	6383	11104
1095	6387	11096
1096	6391	11087
1097	6395	11079
1098	6400	11070
1099	6404	11062
1100	6408	11053
1101	6413	11045
1102	6417	11036
1103	6421	11028
1104	6426	11020
1105	6430	11011
1106	6434	11003
1107	6439	10995
1108	6443	10987
1109	6447	10978
1110	6452	10970
1111	6456	10961
1112	6460	10953
1113	6464	10945
1114	6469	10937
1115	6473	10928
1116	6477	10920
1117	6482	10911
1118	6486	10903
1119	6490	10895
1120	6495	10887
1121	6499	10879
1122	6504	10871
1123	6508	10862
1124	6512	10854
1125	6517	10846
1126	6521	10838
1127	6525	10829
1128	6530	10822
1129	6534	10814
1130	6539	10806
1131	6543	10797
1132	6547	10789
1133	6553	10783
1134	6566	10789
1135	6576	10790
1136	6584	10789
1137	6593	10788
1138	6604	10791
1139	6613	10790
1140	6619	10785
1141	6626	10780
1142	6631	10773
1143	6636	10767
1144	6642	10760
1145	6655	10766
1146	6659	10758
1147	6663	10749
1148	6667	10741
1149	6671	10732
1150	6675	10724
1151	6680	10716
1152	6684	10707
1153	6689	10700
1154	6693	10691
1155	6697	10683
1156	6701	10675
1157	6706	10667
1158	6710	10659
1159	6714	10650
1160	6718	10642
1161	6723	10634
1162	6727	10625
1163	6731	10617
